Species,APOB,BDNF,BRCA1,GHR,RAG1,RAG2,ATP6,ATP8,COX1,COX2,COX3,CYTB,ND1,ND2,ND3,ND4,ND4L,ND5,ND6,12S_rRNA,16S_rRNA
Scapanulus_oweni,KX755184,KX754667,KX754545,KX755081,KX754576,KX754605,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777,NC_025777
Scapanus_spp,KX755170,KX754656,KX754534,KX755070,KX754566,KX754594,,,MZ150465,,MZ217165,KX754473,,,,,,,,KX754501,
Scaptochirus_moschatus,KX755176,HG737986,HG737911,KX755073,HG737927,HG737945,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123,NC_049123
Scaptonyx_fusicauda,KX755180,KX754662,MN130467,KX755077,MN130782,KX754600,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834,MZ708834
Atopogale_cubana,LC124832,LC124888,LC124921,,LC124955,,,,,,,,,,,,,,,AY530083,AY530083
Solenodon_paradoxus,JN414026,AY530070,AY530080,JN414741,AY530075,AY451972,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358,KU697358
Sorex_alpinus,GU473846,,MH332085,MH332222,,MH331924,NC_087795,NC_087795,NC_087795,NC_087795,NC_087795,AB175120,NC_087795,NC_087795,NC_087795,NC_087795,NC_087795,NC_087795,NC_087795,EF027282,MZ661231
Sorex_araneus,JN414027,JQ433920,AY057828,OP355891,KC113264,MH331951,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963,NC_027963
Sorex_caecutiens,GU223699,LC124906,LC124939,MH332258,LC124968,MH331975,KY676802,KY676802,MF374796,KY676802,KY676802,KY676802,KY676802,KY676802,KY676802,KY676802,KY676802,KY676802,KY676802,KY676802,KY676802
Sorex_cinereus,DQ630170,,MH332078,MH332219,,MH331920,,,MG422537,,,AF395486,,AY691843,,AF250461,,,,AY691825,AF395486
Sorex_coronatus,GU473840,,GU473780,MH332241,,MH331948,,,MZ661157,,,AJ000419,,,,,,,,MZ661198,MZ661222
Sorex_minutus,GU223702,,GU473785,OP355881,,MH331956,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904,MN122904
Sorex_monticolus,AF548402,,MH332076,MH332218,,MH331917,,,JF436820,,,GU731522,,,,AF250464,,,,,
Soriculus_nigrescens,MW670322,,GU981209,,,MW670207,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688,NC_052688
Suncus_etruscus,DQ630145,JQ433917,DQ630229,MW395412,JN556041,XM_049779661,OP846388,OP846399,OP855700,OP846408,OP846422,OQ885445,,AY691840,,OP853585,,OP853571,OP846379,MZ661214,OP857514
Suncus_murinus,FJ813738,MG973447,LC124929,AF392888,MT344823,,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604,NC_024604
Sylvisorex_lunaris,,,EF525161,,,,,,,,,KF876415,,AY691833,,,,,,AY691816,EF507205
Talpa_europaea,AY243373,HG737988,AY121756,KX755083,AF447515,AF447532,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391,NC_002391
Uropsilus_soricipes,KX755191,KF778036,KX754550,KX755088,MH210285,KF778377,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244,NC_023244
Urotrichus_talpoides,KX755193,LC124910,LC124944,KX755090,LC124973,KX754609,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034,NC_005034
Homo_sapiens,HQ190919,PX442393,MW716260,AH002706,AF138875,KR711200,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691,LC205691
Pteropus_vampyrus,JN414015,MN511548,JN398228,JN414735,MN511666,MN496879,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542,NC_026542
